num_agents,num_items,algorithm,min_happiness,total_happiness,time_taken
10,100,Original,774,8623,0.003297567367553711
10,100,Improved,686,8814,0.0025501251220703125
10,200,Original,1691,17961,0.003715991973876953
10,200,Improved,1513,17852,0.002305269241333008
10,300,Original,2428,26913,0.0031104087829589844
10,300,Improved,2261,27028,0.002542257308959961
10,400,Original,3134,35942,0.0036458969116210938
10,400,Improved,3328,35896,0.0047376155853271484
10,500,Original,4178,44727,0.009373188018798828
10,500,Improved,4089,45262,0.00629425048828125
10,600,Original,5096,54272,0.008439302444458008
10,600,Improved,5199,54170,0.0067179203033447266
10,700,Original,6143,63427,0.008137702941894531
10,700,Improved,5737,63216,0.008503437042236328
10,800,Original,6886,72462,0.012887716293334961
10,800,Improved,6818,72467,0.009288549423217773
10,900,Original,7928,81567,0.01401662826538086
10,900,Improved,7521,81613,0.014059782028198242
10,1000,Original,8551,91179,0.029128551483154297
10,1000,Improved,8443,90558,0.020007848739624023
10,1100,Original,9084,100003,0.017935991287231445
10,1100,Improved,9573,100232,0.008809804916381836
10,1200,Original,10347,108948,0.016310930252075195
10,1200,Improved,10514,109060,0.012441635131835938
10,1300,Original,11314,118064,0.02112102508544922
10,1300,Improved,11321,117664,0.019910335540771484
10,1400,Original,12172,127406,0.021465539932250977
10,1400,Improved,12338,127420,0.014811515808105469
10,1500,Original,13182,135476,0.027876853942871094
10,1500,Improved,13067,135865,0.014635324478149414
10,1600,Original,13852,144799,0.023445606231689453
10,1600,Improved,13917,145390,0.017537593841552734
10,1700,Original,14768,154584,0.02506732940673828
10,1700,Improved,15047,154902,0.016112565994262695
10,1800,Original,15701,163886,0.02636575698852539
10,1800,Improved,16133,163954,0.019010543823242188
10,1900,Original,16781,173021,0.024062395095825195
10,1900,Improved,16549,173211,0.018369674682617188
10,2000,Original,17529,182240,0.03358936309814453
10,2000,Improved,17459,181669,0.022322893142700195
